timestamp,game,latency,map,killer,victim,points
2024-05-23 12:32:36,9,200,wrackdm17,Player_172.19.119.51,Player_172.19.116.18,6
2024-05-23 12:32:44,9,200,wrackdm17,Player_172.19.137.208,Player_172.19.119.51,2
2024-05-23 12:32:44,9,200,wrackdm17,Player_172.19.114.48,Player_172.19.117.18,7
2024-05-23 12:32:51,9,200,wrackdm17,<world>,Player_172.19.114.48,6
2024-05-23 12:32:52,9,200,wrackdm17,Player_172.19.117.18,Player_172.19.120.104,6
2024-05-23 12:32:52,9,200,wrackdm17,Player_172.19.119.51,Player_172.19.116.18,7
2024-05-23 12:33:02,9,200,wrackdm17,Player_172.19.119.51,Player_172.19.116.18,8
2024-05-23 12:33:05,9,200,wrackdm17,Player_172.19.137.208,Player_172.19.117.18,3
2024-05-23 12:33:07,9,200,wrackdm17,Player_172.19.114.48,Player_172.19.137.208,7
2024-05-23 12:33:10,9,200,wrackdm17,Player_172.19.120.104,Player_172.19.120.104,0
2024-05-23 12:33:13,9,200,wrackdm17,Player_172.19.119.51,Player_172.19.119.51,7
2024-05-23 12:33:19,9,200,wrackdm17,<world>,Player_172.19.137.208,2
2024-05-23 12:33:25,9,200,wrackdm17,Player_172.19.117.18,Player_172.19.119.51,7
2024-05-23 12:33:25,9,200,wrackdm17,Player_172.19.119.51,Player_172.19.117.18,8
2024-05-23 12:33:31,9,200,wrackdm17,Player_172.19.114.48,Player_172.19.116.18,8
2024-05-23 12:33:36,9,200,wrackdm17,<world>,Player_172.19.117.18,6
2024-05-23 12:33:36,9,200,wrackdm17,Player_172.19.117.18,Player_172.19.137.208,7
2024-05-23 12:33:39,9,200,wrackdm17,<world>,Player_172.19.120.104,0
2024-05-23 12:33:42,9,200,wrackdm17,Player_172.19.137.208,Player_172.19.117.18,3
2024-05-23 12:33:44,9,200,wrackdm17,Player_172.19.119.51,Player_172.19.137.208,9
2024-05-23 12:33:46,9,200,wrackdm17,<world>,Player_172.19.120.104,0
2024-05-23 12:33:52,9,200,wrackdm17,Player_172.19.114.48,Player_172.19.119.51,9
2024-05-23 12:33:56,9,200,wrackdm17,Player_172.19.114.48,Player_172.19.137.208,10
2024-05-23 12:34:04,9,200,wrackdm17,<world>,Player_172.19.120.104,0
2024-05-23 12:34:08,9,200,wrackdm17,<world>,Player_172.19.137.208,2
2024-05-23 12:34:12,9,200,wrackdm17,Player_172.19.114.48,Player_172.19.116.18,11
2024-05-23 12:34:16,9,200,wrackdm17,<world>,Player_172.19.120.104,0
2024-05-23 12:34:17,9,200,wrackdm17,<world>,Player_172.19.119.51,8
2024-05-23 12:34:25,9,200,wrackdm17,Player_172.19.117.18,Player_172.19.116.18,8
2024-05-23 12:34:32,9,200,wrackdm17,Player_172.19.119.51,Player_172.19.114.48,9
2024-05-23 12:34:42,9,200,wrackdm17,<world>,Player_172.19.114.48,10
2024-05-23 12:34:43,9,200,wrackdm17,<world>,Player_172.19.116.18,0
2024-05-23 12:34:44,9,200,wrackdm17,Player_172.19.119.51,Player_172.19.137.208,10
